kanji,hanviet,hiragana,meaning
男性,"nam, tính",だんせい,đàn ông
女性,"nữ, tính",じょせい,phụ nữ
高齢,"cao, linh",こうれい,cao tuổi
年上,"niên, thượng",としうえ,hơn tuổi
目上,"mục, thượng",めうえ,bề trên
先輩,"tiên, bối",せんぱい,tiền bối
後輩,"hậu, bối",こうはい,hậu bối
上司,"thượng, tư",じょうし,cấp trên
相手,"tương, thủ",あいて,người đối diện
知り合い,"tri, hợp",しりあい,người quen
友人,"hữu, nhân",ゆうじん,bạn bè
仲,trọng,なか,mối quan hệ
生年月日,"sinh, niên, nguyệt, nhât",せいねんがっぴ,ngày tháng năm sinh
誕生,"đản, sinh",たんじょう,ra đời
年,niên,とし,năm
出身,"xuất, thân",しゅっしん,quê quán
故郷,"cố, hương",こきょう,cố hương
成長,"thành, trường",せいちょう,trưởng thành
成人,"thành, nhân",せいじん,người trưởng thành
合格,"hợp, cách",ごうかく,đỗ đại học
進学,"tiêến, học",しんがく,vào đại học
退学,"thoái, học",たいがく,bỏ học
就職,"tựu, chức",しゅうしょく,có việc làm
退職,"thoái, chức",たいしょく,nghỉ việc
失業,"thất, nghiệp",しつぎょう,thất nghiệp
残業,"tàn, nghiệp",ざんぎょう,làm thêm
生活,"sinh, hoạt",せいかつ,cuộc sống
通勤,"thông, cần",つうきん,đi làm
学歴,"học, lịch",がくれき,bằng cấp
給料,"cấp, liệu",きゅうりょう,tiền lương
面接,"diện, tiếp",めんせつ,phỏng vấn
休憩,"hưu, khế",きゅうけい,nghỉ ngơi
観光,"quan, quang",かんこう,tham quan
帰国,"qui, quốc",きこく,về nước
帰省,"qui, tỉnh",きせい,về quê
帰宅,"qui, trạch",きたく,về nhà
参加,"tham, gia",さんか,tham gia
出席,"xuất, tịch",しゅっせき,có mặt
欠席,"khiếm, tịch",けっせき,vắng mặt
遅刻,"trì, khắc",ちこく,đến muộn
化粧,"hóa, trang",けしょう,trang điểm
計算,"kế, toán",けいさん,tính toán
計画,"kế, họa",けいかく,kế hoạch
成功,"thành, công",せいこう,thành công
失敗,"thất, bại",しっぱい,thất bại
準備,"chuẩn, bị",じゅんび,chuẩn bị
整理,"chỉnh, lý",せいり,chỉnh sửa
注文,"chú, văn",ちゅうもん,đặt hàng
貯金,"trữ, kim",ちょきん,tiết kiệm
徹夜,"triệt, dạ",てつや,thức xuyên đêm
引っ越し,"dẫn, việt",ひっこし,chuyển nhà
身長,"thân, trường",しんちょう,chiều cao
体重,"thể, trọng",たいじゅう,cân nặng
けが,,けが,vết thương
会,hội,かい,"hội, tiệc"
趣味,"thú, vị",しゅみ,sở thích
興味,"hưng, vị",きょうみ,hứng thú
思い出,"tư, xuất",おもいで,nhớ lại
冗談,"nhũng, đàm",じょうだん,đùa cợt
目的,"mục, đích",もくてき,mục đích
約束,"ước, thúc",やくそく,lời hứa
おしゃべり,,おしゃべり,nói chuyện riêng
遠慮,"viễn, lự",えんりょ,ngại ngần
我慢,"ngã, mạn",がまん,chịu đựng
目枠,"mục, khung",めわく,làm phiền
希望,"hi, vọng",きぼう,hi vọng
夢,mộng,ゆめ,giấc mơ
賛成,"tán, thành",さんせい,đồng ý
反対,"phản, đối",はんたい,đối lập
創造,"sáng, tạo",そうぞう,tưởng tượng
努力,"nỗ, lực",どりょく,nỗ lực
太陽,"thái, dương",たいよう,mặt trời
地球,"địa, cầu",ちきゅう,trái đất
温度,"ôn, độ",おんど,nhiệt độ
